,topic,subtopic,video,video_length_[mins],video_length_[hrs]
225,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,10 Medical Error - Analysis of Medical Errors.mp4,3.46,0.06
226,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,11 Principles of Quality Improvement - STEEP.mp4,3.31,0.06
227,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,12 Principles of Quality Improvement - Measures of Quality.mp4,3.89,0.06
228,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,13 Principles of Quality Improvement - Models of Quality Improvement _ Kaptest.com - Google Chrome 2021-03-21 18-45-24.mp4,11.35,0.19
229,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,14 Leading Change and Key Definitions - Leading Change in Patient Safety.mp4,5.38,0.09
230,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,15 Leading Change and Key Definitions - Key Definitions.mp4,21.54,0.36
231,04 Biochemistry 32h53m,01 Biochemistry,01 Nucleic Acid Structure and Organization - Overview The Central Dogma of Molecular Biology.mp4,19.21,0.32
232,04 Biochemistry 32h53m,01 Biochemistry,02 Nucleic Acid Structure and Organization - Nucleotide Structure and Nomenclature.mp4,18.7,0.31
233,04 Biochemistry 32h53m,01 Biochemistry,03 Nucleic Acid Structure and Organization - Nucleic Acids.mp4,21.87,0.36
234,04 Biochemistry 32h53m,01 Biochemistry,04 Nucleic Acid Structure and Organization - Organization of DNA.mp4,15.42,0.26
235,04 Biochemistry 32h53m,01 Biochemistry,05 DNA Replication and Repair - Overview of DNA Replication.mp4,10,0.17
236,04 Biochemistry 32h53m,01 Biochemistry,06 DNA Replication and Repair - Comparison of DNA and RNA Synthesis.mp4,11.07,0.18
237,04 Biochemistry 32h53m,01 Biochemistry,07 DNA Replication and Repair - Steps of DNA Replication.mp4,17.71,0.3
238,04 Biochemistry 32h53m,01 Biochemistry,08 DNA Replication and Repair - DNA Repair.mp4,17.9,0.3
239,04 Biochemistry 32h53m,01 Biochemistry,09 Transcription and RNA Processing - Overview of Transcription.mp4,8.54,0.14
240,04 Biochemistry 32h53m,01 Biochemistry,10 Transcription and RNA Processing - RNA Polymerases.mp4,5.8,0.1
241,04 Biochemistry 32h53m,01 Biochemistry,11 Transcription and RNA Processing - Transcription Important Concepts and Terminology.mp4,15.81,0.26
242,04 Biochemistry 32h53m,01 Biochemistry,12 Transcription and RNA Processing - Production of Prokaryotic Messenger RNA.mp4,8.19,0.14
243,04 Biochemistry 32h53m,01 Biochemistry,13 Transcription and RNA Processing - Production of Eukaryotic Messenger RNA.mp4,11.76,0.2
244,04 Biochemistry 32h53m,01 Biochemistry,14 Transcription and RNA Processing - Alternative Splicing-Eukaryotic Primary Pre-mRNA Transcripts.mp4,5.87,0.1
245,04 Biochemistry 32h53m,01 Biochemistry,15 Transcription and RNA Processing - Ribosomal RNA (rRNA) Is Used to Construct Ribosomes.mp4,5.73,0.1
246,04 Biochemistry 32h53m,01 Biochemistry,16 Transcription and RNA Processing - Transfer RNA Carries Activated Amino Acids for Translation.mp4,11.2,0.19
247,04 Biochemistry 32h53m,01 Biochemistry,"17 The Genetic Code, Mutations, and Translation - Overview of Translation.mp4",8.64,0.14
248,04 Biochemistry 32h53m,01 Biochemistry,"18 The Genetic Code, Mutations, and Translation - Mutations.mp4",18.46,0.31
249,04 Biochemistry 32h53m,01 Biochemistry,"19 The Genetic Code, Mutations, and Translation - Amino Acid Activation and Codon Translation by tRNAs.mp4",5.73,0.1
250,04 Biochemistry 32h53m,01 Biochemistry,"20 The Genetic Code, Mutations, and Translation - Translation (Protein Synthesis).mp4",21.01,0.35
251,04 Biochemistry 32h53m,01 Biochemistry,"21 The Genetic Code, Mutations, and Translation - Inhibitors of Protein Synthesis.mp4",2.95,0.05
252,04 Biochemistry 32h53m,01 Biochemistry,"22 The Genetic Code, Mutations, and Translation - Protein Folding and Subunit Assembly.mp4",4.62,0.08
253,04 Biochemistry 32h53m,01 Biochemistry,"23 The Genetic Code, Mutations, and Translation - Translation Occurs on Free Ribosomes and on the RER.mp4",15.61,0.26
254,04 Biochemistry 32h53m,01 Biochemistry,"24 The Genetic Code, Mutations, and Translation - Co- and Posttranslational Covalent Modifications.mp4",7.79,0.13
255,04 Biochemistry 32h53m,01 Biochemistry,"25 The Genetic Code, Mutations, and Translation - Posttranslational Modifications of Collagen.mp4",19.61,0.33
256,04 Biochemistry 32h53m,01 Biochemistry,26 Regulation of Eukaryotic Gene Expression - Overview of Genetic Regulation.mp4,0.74,0.01
257,04 Biochemistry 32h53m,01 Biochemistry,27 Regulation of Eukaryotic Gene Expression - Regulation of Eukaryotic Gene Expression.mp4,45.7,0.76
258,04 Biochemistry 32h53m,01 Biochemistry,28 Genetic Strategies in Therapeutics - Overview of Recombinant DNA Technology.mp4,14.27,0.24
259,04 Biochemistry 32h53m,01 Biochemistry,29 Genetic Strategies in Therapeutics - Human Genome Project and Cloning Genes.mp4,30.72,0.51
260,04 Biochemistry 32h53m,01 Biochemistry,30 Genetic Strategies in Therapeutics - Medical Application of Recombinant DNA.mp4,29.4,0.49
261,04 Biochemistry 32h53m,01 Biochemistry,31 Genetic Strategies in Therapeutics - RNA Interference.mp4,6.27,0.1
262,04 Biochemistry 32h53m,01 Biochemistry,32 Techniques of Genetic Analysis - Blotting Techniques.mp4,42.99,0.72
263,04 Biochemistry 32h53m,01 Biochemistry,33 Techniques of Genetic Analysis - Polymerase Chain Reaction (PCR).mp4,26.81,0.45
264,04 Biochemistry 32h53m,01 Biochemistry,"34 Amino Acids, Proteins, and Enzymes - Amino Acids.mp4",27.61,0.46
265,04 Biochemistry 32h53m,01 Biochemistry,"35 Amino Acids, Proteins, and Enzymes - Protein Turnover.mp4",8.94,0.15
266,04 Biochemistry 32h53m,01 Biochemistry,"36 Amino Acids, Proteins, and Enzymes - Biochemical Reactions.mp4",42.72,0.71
267,04 Biochemistry 32h53m,01 Biochemistry,37 Hormones - Hormones and Signal Transduction.mp4,5.7,0.1
268,04 Biochemistry 32h53m,01 Biochemistry,38 Hormones - Water-Soluble Hormones Mechanism.mp4,32.53,0.54
269,04 Biochemistry 32h53m,01 Biochemistry,39 Hormones - G-Proteins in Signal Transduction.mp4,7.66,0.13
270,04 Biochemistry 32h53m,01 Biochemistry,40 Hormones - Lipid Soluble Hormones.mp4,8.15,0.14
271,04 Biochemistry 32h53m,01 Biochemistry,41 Vitamins - Water Soluble Vitamins.mp4,16.42,0.27
272,04 Biochemistry 32h53m,01 Biochemistry,42 Vitamins - Lipid Soluble Vitamins.mp4,42.7,0.71
273,04 Biochemistry 32h53m,02 Metabolism,01  Overview of Energy Metabolism - Metabolic Sources of Energy and Energy Storage.mp4,29.85,0.5
274,04 Biochemistry 32h53m,02 Metabolism,02 Overview of Energy Metabolism - Patterns of Fuel Metabolism in Tissues.mp4,17.08,0.28
275,04 Biochemistry 32h53m,02 Metabolism,03 Glycolysis and Pyruvate Dehydrogenase - Carbohydrate Digestion.mp4,14.92,0.25
276,04 Biochemistry 32h53m,02 Metabolism,04 Glycolysis and Pyruvate Dehydrogenase - Glucose Transport.mp4,15.36,0.26
277,04 Biochemistry 32h53m,02 Metabolism,05 Glycolysis and Pyruvate Dehydrogenase - Glycolysis.mp4,50.2,0.84
278,04 Biochemistry 32h53m,02 Metabolism,06 Glycolysis and Pyruvate Dehydrogenase - Galactose Metabolism.mp4,19.52,0.33
279,04 Biochemistry 32h53m,02 Metabolism,07 Glycolysis and Pyruvate Dehydrogenase - Fructose Metabolism.mp4,9.08,0.15
280,04 Biochemistry 32h53m,02 Metabolism,08 Glycolysis and Pyruvate Dehydrogenase - Pyruvate Dehydrogenase.mp4,9.04,0.15
281,04 Biochemistry 32h53m,02 Metabolism,09 Citric Acid Cycle and Oxidative Phosphorylation - Citric Acid Cycle.mp4,20.64,0.34
282,04 Biochemistry 32h53m,02 Metabolism,10 Citric Acid Cycle and Oxidative Phosphorylation - Electron Transport Chain and Oxidative Phosphorylation.mp4,38.83,0.65
283,04 Biochemistry 32h53m,02 Metabolism,"11 Glycogen, Gluconeogenesis, and the HMP Shunt - Glycogen Synthesis and Glycogenolysis.mp4",17.31,0.29
284,04 Biochemistry 32h53m,02 Metabolism,"12 Glycogen, Gluconeogenesis, and the HMP Shunt - Genetic Deficiencies of Enzymes in Glycogen Metabolism.mp4",12.74,0.21
285,04 Biochemistry 32h53m,02 Metabolism,"13 Glycogen, Gluconeogenesis, and the HMP Shunt - Gluconeogenesis.mp4",42.11,0.7
286,04 Biochemistry 32h53m,02 Metabolism,"14 Glycogen, Gluconeogenesis, and the HMP Shunt - Hexose Monophosphate Shunt.mp4",39.72,0.66
287,04 Biochemistry 32h53m,02 Metabolism,"15 Glycogen, Gluconeogenesis, and the HMP Shunt - Chapter 14 Questions.mp4",28.82,0.48
288,04 Biochemistry 32h53m,02 Metabolism,16 Lipid Synthesis and Storage - Fatty Acid Nomenclature.mp4,13.51,0.23
289,04 Biochemistry 32h53m,02 Metabolism,17 Lipid Synthesis and Storage - Lipid Digestion.mp4,8.87,0.15
290,04 Biochemistry 32h53m,02 Metabolism,18 Lipid Synthesis and Storage - Fatty Acid Biosynthesis.mp4,17.32,0.29
291,04 Biochemistry 32h53m,02 Metabolism,19 Lipid Synthesis and Storage - Triglyceride (Triacylglycerol) Synthesis.mp4,10.8,0.18
292,04 Biochemistry 32h53m,02 Metabolism,20 Lipid Synthesis and Storage - Lipoprotein Metabolism.mp4,68.22,1.14
293,04 Biochemistry 32h53m,02 Metabolism,21 Lipid Synthesis and Storage - Hyperlipidemias.mp4,6.29,0.1
294,04 Biochemistry 32h53m,02 Metabolism,22 Lipid Synthesis and Storage - Cholesterol Metabolism.mp4,19.78,0.33
295,04 Biochemistry 32h53m,02 Metabolism,23 Lipid Mobilization and Catabolism - Lipid Mobilization.mp4,10.08,0.17
296,04 Biochemistry 32h53m,02 Metabolism,24 Lipid Mobilization and Catabolism - Fatty Acid Oxidation.mp4,38.83,0.65
297,04 Biochemistry 32h53m,02 Metabolism,25 Lipid Mobilization and Catabolism - Ketone Body Metabolism.mp4,19.04,0.32
298,04 Biochemistry 32h53m,02 Metabolism,26 Lipid Mobilization and Catabolism - Sphingolipids.mp4,19.98,0.33
299,04 Biochemistry 32h53m,02 Metabolism,27 Lipid Mobilization and Catabolism - Chapter 16 Questions.mp4,22.77,0.38
300,04 Biochemistry 32h53m,02 Metabolism,28 Amino Acid Metabolism - Overview (Amino Acid Metabolism).mp4,10.57,0.18
301,04 Biochemistry 32h53m,02 Metabolism,29 Amino Acid Metabolism - Removal and Excretion of Amino Groups.mp4,18.41,0.31
302,04 Biochemistry 32h53m,02 Metabolism,30 Amino Acid Metabolism - Urea Cycle.mp4,16.49,0.27
303,04 Biochemistry 32h53m,02 Metabolism,31 Amino Acid Metabolism - Disorders of Amino Acid Metabolism.mp4,22.21,0.37
304,04 Biochemistry 32h53m,02 Metabolism,"32 Amino Acid Metabolism - S-Adenosylmethionine, Folate, and Cobalamin.mp4",26.14,0.44
305,04 Biochemistry 32h53m,02 Metabolism,33 Amino Acid Metabolism - Heme Synthesis.mp4,19.98,0.33
306,04 Biochemistry 32h53m,02 Metabolism,34 Amino Acid Metabolism - Iron Transport and Storage.mp4,12.45,0.21
307,04 Biochemistry 32h53m,02 Metabolism,35 Amino Acid Metabolism - Bilirubin Metabolism.mp4,22.28,0.37
308,04 Biochemistry 32h53m,02 Metabolism,36 Purine and Pyrimidine Metabolism - Overview (Purine and Pyrimidine Metabolism).mp4,6.1,0.1
309,04 Biochemistry 32h53m,02 Metabolism,37 Purine and Pyrimidine Metabolism - Pyrimidine Synthesis.mp4,15.75,0.26
310,04 Biochemistry 32h53m,02 Metabolism,38 Purine and Pyrimidine Metabolism - Purine Synthesis.mp4,8.58,0.14
311,04 Biochemistry 32h53m,02 Metabolism,39 Purine and Pyrimidine Metabolism - Purine Catabolism and the Salvage Enzyme HGPRT.mp4,15.35,0.26
312,04 Biochemistry 32h53m,02 Metabolism,40 Purine and Pyrimidine Metabolism - Chapter 17 and 18 Questions.mp4,24.45,0.41
313,04 Biochemistry 32h53m,03 Medical Genetics,01 Single Gene Disorders - Basic Definitions.mp4,27.1,0.45
314,04 Biochemistry 32h53m,03 Medical Genetics,02 Single Gene Disorders - Major Modes of Inheritance.mp4,36.27,0.6
315,04 Biochemistry 32h53m,03 Medical Genetics,03 Single Gene Disorders - Important Principles Characterizing Single-Gene Diseases.mp4,46.87,0.78
316,04 Biochemistry 32h53m,03 Medical Genetics,04 Population Genetics - Definition (Population Genetics).mp4,12.35,0.21
317,04 Biochemistry 32h53m,03 Medical Genetics,05 Population Genetics - Hardy-Weinberg Equilibrium.mp4,17.25,0.29
318,04 Biochemistry 32h53m,03 Medical Genetics,06 Population Genetics - Factors Responsible for Genetic Variation among Populations.mp4,15.43,0.26
319,04 Biochemistry 32h53m,03 Medical Genetics,07 Cytogenetics - Overview (Cytogenics).mp4,2.4,0.04
320,04 Biochemistry 32h53m,03 Medical Genetics,08 Cytogenetics - Basic Definitions and Terminology.mp4,7.4,0.12
321,04 Biochemistry 32h53m,03 Medical Genetics,09 Cytogenetics - Numerical Chromosome Abnormalities.mp4,19.68,0.33
322,04 Biochemistry 32h53m,03 Medical Genetics,10 Cytogenetics - Structural Chromosome Abnormalities.mp4,26.11,0.44
323,04 Biochemistry 32h53m,03 Medical Genetics,11 Cytogenetics - Other Chromosome Abnormalities.mp4,4,0.07
324,04 Biochemistry 32h53m,03 Medical Genetics,12 Cytogenetics - Advances in Molecular Cytogenics.mp4,7.18,0.12
325,04 Biochemistry 32h53m,03 Medical Genetics,14 Gene Mapping - Overview (Gene Mapping).mp4,11.46,0.19
326,04 Biochemistry 32h53m,03 Medical Genetics,15 Gene Mapping - Gene Mapping Linkage Analysis.mp4,28.88,0.48
327,04 Biochemistry 32h53m,03 Medical Genetics,16 Genetic Diagnosis - Overview (Genetic Diagnosis).mp4,13.04,0.22
328,04 Biochemistry 32h53m,03 Medical Genetics,17 Genetic Diagnosis - Genetic Diagnosis.mp4,34.53,0.58
329,04 Biochemistry 32h53m,03 Medical Genetics,18 Genetic Diagnosis - Applications of Genetic Diagnosis.mp4,5.62,0.09
330,04 Biochemistry 32h53m,03 Medical Genetics,Genetics of Common Diseases - Multifactorial Inheritance (2019).mp4,44.22,0.74
331,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,01 Abetalipoproteinemia.mp4,17.33,0.29
332,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,02 Hereditary Nonpolyposis Colorectal Cancer (HNPCC).mp4,17,0.28
333,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,03 Li-Fraumeni.mp4,15.92,0.27
334,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,04 Sickle Cell Disease.mp4,19.91,0.33
335,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,05 Fatty Acid Oxidation.mp4,5.16,0.09
336,05 Immunology 12h31m,01 The Immune System,01 The Immune System - The Immune System.mp4,13.15,0.22
337,05 Immunology 12h31m,01 The Immune System,02 Ontogeny of the Immune Cells - Ontogeny of the Immune Cells.mp4,31.86,0.53
338,05 Immunology 12h31m,02 Development & Response,01 Lymphocyte Development and Selection - Lymphocyte Development and Selection.mp4,34.83,0.58
339,05 Immunology 12h31m,02 Development & Response,02 Lymphocyte Development and Selection - Selection of T and B Lymphocytes.mp4,32.24,0.54
340,05 Immunology 12h31m,02 Development & Response,"03 Periphery Innate Immune Response - Periphery Innate Immune Response, Part 1.mp4",33.95,0.57
341,05 Immunology 12h31m,02 Development & Response,"04 Periphery Innate Immune Response - Periphery Innate Immune Response, Part 2.mp4",35.54,0.59
342,05 Immunology 12h31m,02 Development & Response,"05 Periphery Innate Immune Response - Periphery Innate Immune Response, Part 3.mp4",44.26,0.74
343,05 Immunology 12h31m,02 Development & Response,06 Secondary Lymphoid Tissue - Innate Immune Response Meets Adaptive.mp4,27.26,0.45
344,05 Immunology 12h31m,02 Development & Response,07 Secondary Lymphoid Tissue - B and T Lymphocyte Activation.mp4,23.29,0.39
345,05 Immunology 12h31m,02 Development & Response,08 Secondary Lymphoid Tissue - Development of the T Lymphocyte Subsets.mp4,27.68,0.46
346,05 Immunology 12h31m,02 Development & Response,09 Secondary Lymphoid Tissue - Activation of B Lymphocytes.mp4,21.92,0.37
347,05 Immunology 12h31m,03 Humoral & Cell-Mediated,01 Humoral Immunity - Humoral Immunity.mp4,32.87,0.55
348,05 Immunology 12h31m,03 Humoral & Cell-Mediated,02 Cell-Mediated Immunity - Cell-Mediated Immunity.mp4,27.55,0.46
349,05 Immunology 12h31m,04 Diagnosis & Immunization,01 Immunodiagnostics - Immunodiagnostics Serology.mp4,30.39,0.51
350,05 Immunology 12h31m,04 Diagnosis & Immunization,"02 Immunodiagnostics - Immunodiagnostics Agglutination, ABO Testing, Labeled Antibody Testing.mp4",37.89,0.63
351,05 Immunology 12h31m,04 Diagnosis & Immunization,03 Immunizations - Immunizations Types of Immunity.mp4,11.81,0.2
352,05 Immunology 12h31m,04 Diagnosis & Immunization,04 Immunizations - Immunizations Types of Vaccines.mp4,25.13,0.42
353,05 Immunology 12h31m,04 Diagnosis & Immunization,"05 Immunizations - Immunizations Immunity in Fetus, Neonates and Children.mp4",10.77,0.18
354,05 Immunology 12h31m,05 Deficiencies & Disease,01 Primary Immunodeficiencies - Primary Immunodeficiencies.mp4,36.81,0.61
355,05 Immunology 12h31m,05 Deficiencies & Disease,02 Hypersensitivities and Autoimmune Disease - Hypersensitivities and Autoimmune Disease.mp4,21.49,0.36
356,05 Immunology 12h31m,05 Deficiencies & Disease,"03 Hypersensitivities and Autoimmune Disease - Hypersensitivity Reactions Type II, III and IV.mp4",26.09,0.43
357,05 Immunology 12h31m,05 Deficiencies & Disease,04 Hypersensitivities and Autoimmune Disease - Autoimmunity.mp4,11.69,0.19
358,05 Immunology 12h31m,06 Transplantation,01 Transplantation - Transplantation.mp4,22.02,0.37
359,05 Immunology 12h31m,07 Clinical Correlates & Animations,01 Asthma Clinical Correlate.mp4,18.57,0.31
360,05 Immunology 12h31m,07 Clinical Correlates & Animations,02 Autoimmune Hemolytic Anemia.mp4,15.67,0.26
361,05 Immunology 12h31m,07 Clinical Correlates & Animations,03 Complement Deficiency.mp4,20.58,0.34
362,05 Immunology 12h31m,07 Clinical Correlates & Animations,04 DiGeorge Syndrome.mp4,15.01,0.25
363,05 Immunology 12h31m,07 Clinical Correlates & Animations,05 Tuberculin Skin Test.mp4,19.57,0.33
364,05 Immunology 12h31m,07 Clinical Correlates & Animations,06 Wiskott-Aldrich Syndrome.mp4,15.65,0.26
365,05 Immunology 12h31m,07 Clinical Correlates & Animations,07 Acute Inflammation.mp4,10.18,0.17
366,05 Immunology 12h31m,07 Clinical Correlates & Animations,08 Asthma Animation.mp4,6.57,0.11
367,05 Immunology 12h31m,07 Clinical Correlates & Animations,09 The Processing and Presentation of Antigen.mp4,8.81,0.15
368,06 Microbiology 29h21m,01 General Microbiology,01 General Microbiology - Bacterial Cell Structure and Endospores.mp4,23.15,0.39
369,06 Microbiology 29h21m,01 General Microbiology,02 General Microbiology - Bacterial Cell Growth and Culture of Microorganisms.mp4,13.47,0.22
370,06 Microbiology 29h21m,01 General Microbiology,03 General Microbiology - Pathogenecity.mp4,28.35,0.47
371,06 Microbiology 29h21m,01 General Microbiology,04 General Microbiology - Toxins.mp4,23.44,0.39
372,06 Microbiology 29h21m,02 Bacteria,01 Flora and Stains - Normal Flora.mp4,21.23,0.35
373,06 Microbiology 29h21m,02 Bacteria,02 Flora and Stains - Stains and Gram Staining Reactions.mp4,11.52,0.19
374,06 Microbiology 29h21m,02 Bacteria,03 Gram-Positive Cocci - Gram-Positive Cocci.mp4,31.09,0.52
375,06 Microbiology 29h21m,02 Bacteria,04 Gram-Positive Cocci - Genus_ Staphylococcus.mp4,42.22,0.7
376,06 Microbiology 29h21m,02 Bacteria,05 Gram-Positive Cocci - Genus_ Streptococcus.mp4,63.12,1.05
377,06 Microbiology 29h21m,02 Bacteria,06 Gram-Positive Cocci - Genus_ Enterococcus.mp4,5.45,0.09
378,06 Microbiology 29h21m,02 Bacteria,07 Gram-Positive Rods - Genus_ Bacillus.mp4,29.03,0.48
379,06 Microbiology 29h21m,02 Bacteria,08 Gram-Positive Rods - Genus_ Clostridium.mp4,45.94,0.77
380,06 Microbiology 29h21m,02 Bacteria,09 Gram-Positive Rods - Genus_ Listeria.mp4,13.24,0.22
381,06 Microbiology 29h21m,02 Bacteria,10 Gram-Positive Rods - Genus_ Corynebacterium.mp4,15.7,0.26
382,06 Microbiology 29h21m,02 Bacteria,11 Gram-Positive Rods - Genus_ Actinomyces.mp4,10.62,0.18
383,06 Microbiology 29h21m,02 Bacteria,12 Gram-Positive Rods - Genus_ Nocardia.mp4,5.58,0.09
384,06 Microbiology 29h21m,02 Bacteria,13 Gram-Positive Rods - Genus_ Mycobacterium.mp4,45.33,0.76
385,06 Microbiology 29h21m,02 Bacteria,14 Gram-Negative Cocci - Neisseria and Moraxella.mp4,32.38,0.54
386,06 Microbiology 29h21m,02 Bacteria,15 Gram-Negative Bacilli - Gram-Negative Bacilli.mp4,28.24,0.47
387,06 Microbiology 29h21m,02 Bacteria,16 Gram-Negative Bacilli - Genus_ Legionella.mp4,12.48,0.21
388,06 Microbiology 29h21m,02 Bacteria,17 Gram-Negative Bacilli - Genus_ Francisella.mp4,11.24,0.19
389,06 Microbiology 29h21m,02 Bacteria,18 Gram-Negative Bacilli - Genus_ Bordetella.mp4,18.34,0.31
390,06 Microbiology 29h21m,02 Bacteria,19 Gram-Negative Bacilli - Genus_ Brucella.mp4,9.5,0.16
391,06 Microbiology 29h21m,02 Bacteria,20 Gram-Negative Bacilli - Genus_ Haemophilus.mp4,17.08,0.28
392,06 Microbiology 29h21m,02 Bacteria,21 Gram-Negative Bacilli - Genus_ Pasteurella.mp4,6.16,0.1
393,06 Microbiology 29h21m,02 Bacteria,22 Bite and HACEK Group Infections - Bite and HACEK Group Infections.mp4,7.65,0.13
394,06 Microbiology 29h21m,02 Bacteria,23 Gram-Negative Curved Rods - Genus_ Campylobacter.mp4,14.1,0.24
395,06 Microbiology 29h21m,02 Bacteria,24 Gram-Negative Curved Rods - Genus_ Helicobacter.mp4,8.93,0.15
396,06 Microbiology 29h21m,02 Bacteria,25 Gram-Negative Curved Rods - Genus_ Vibrio.mp4,12.1,0.2
397,06 Microbiology 29h21m,02 Bacteria,26 Enterobacteriaceae - Family_ Enterobacteriaceae.mp4,10.13,0.17
398,06 Microbiology 29h21m,02 Bacteria,27 Enterobacteriaceae - Genus_ Escherichia.mp4,20.89,0.35
399,06 Microbiology 29h21m,02 Bacteria,28 Enterobacteriaceae - Genus_ Klebsiella.mp4,15.34,0.26
400,06 Microbiology 29h21m,02 Bacteria,29 Enterobacteriaceae - Genus_ Shigella.mp4,13.53,0.23
401,06 Microbiology 29h21m,02 Bacteria,30 Enterobacteriaceae - Genus_ Yersinia.mp4,18.24,0.3
402,06 Microbiology 29h21m,02 Bacteria,31 Enterobacteriaceae - Genus_ Proteus.mp4,6.76,0.11
403,06 Microbiology 29h21m,02 Bacteria,32 Enterobacteriaceae - Genus_ Salmonella.mp4,29.24,0.49
404,06 Microbiology 29h21m,02 Bacteria,33 Additional Gram-Negative Rods - Genus_ Gardnerella.mp4,11.08,0.18
405,06 Microbiology 29h21m,02 Bacteria,34 Additional Gram-Negative Rods - Genus_ Bacteroides.mp4,13.71,0.23
406,06 Microbiology 29h21m,02 Bacteria,35 Spirochetes - Genus_ Treponema.mp4,33.13,0.55
407,06 Microbiology 29h21m,02 Bacteria,36 Spirochetes - Genus_ Borrelia.mp4,23.66,0.39
408,06 Microbiology 29h21m,02 Bacteria,37 Spirochetes - Genus_ Leptospira.mp4,8.67,0.14
409,06 Microbiology 29h21m,02 Bacteria,38 Atypical Bacteria - Family_ Chlamydiaceae.mp4,32.76,0.55
410,06 Microbiology 29h21m,02 Bacteria,39 Atypical Bacteria - Genus_ Rickettsia.mp4,14.96,0.25
411,06 Microbiology 29h21m,02 Bacteria,40 Atypical Bacteria - Genus_ Ehrlichia.mp4,13.6,0.23
412,06 Microbiology 29h21m,02 Bacteria,41 Atypical Bacteria - Family_ Mycoplasmataceae.mp4,12.52,0.21
413,06 Microbiology 29h21m,02 Bacteria,42 Bacterial Genetics - Bacterial Genetic Material.mp4,8.39,0.14
414,06 Microbiology 29h21m,02 Bacteria,43 Bacterial Genetics - Gene Transfer_ Overview.mp4,5.41,0.09
415,06 Microbiology 29h21m,02 Bacteria,44 Bacterial Genetics - Transformation.mp4,6.82,0.11
416,06 Microbiology 29h21m,02 Bacteria,45 Bacterial Genetics - Homologous Recombination.mp4,5.52,0.09
417,06 Microbiology 29h21m,02 Bacteria,46 Bacterial Genetics - Conjugation.mp4,17.71,0.3
418,06 Microbiology 29h21m,02 Bacteria,47 Bacterial Genetics - Site-Specific Recombination.mp4,24.82,0.41
419,06 Microbiology 29h21m,02 Bacteria,48 Bacterial Genetics - Transduction.mp4,15.41,0.26
420,06 Microbiology 29h21m,02 Bacteria,49 Bacterial Genetics - Temperate Phage.mp4,24.28,0.4
421,06 Microbiology 29h21m,02 Bacteria,50 Bacterial Genetics - Drug Resistance.mp4,20.56,0.34
422,06 Microbiology 29h21m,02 Bacteria,51 Bacterial Genetics - Antibiotic Susceptibility Testing.mp4,14.06,0.23
423,06 Microbiology 29h21m,03 Viruses,01 Intro to Viruses - Structure and Morphology.mp4,20.28,0.34
424,06 Microbiology 29h21m,03 Viruses,02 Intro to Viruses - Important Steps in Viral Replication.mp4,29.22,0.49
425,06 Microbiology 29h21m,03 Viruses,03 Viral Hepatitis - Viral Hepatitis.mp4,40.05,0.67
426,06 Microbiology 29h21m,03 Viruses,04 DNA Viruses - DNA Viruses.mp4,15.72,0.26
427,06 Microbiology 29h21m,03 Viruses,05 DNA Viruses - Parvoviridae.mp4,11.01,0.18
428,06 Microbiology 29h21m,03 Viruses,06 DNA Viruses - Papillomaviridae and Polyomaviridae.mp4,17.48,0.29
429,06 Microbiology 29h21m,03 Viruses,07 DNA Viruses - Adenoviridae.mp4,8.94,0.15
430,06 Microbiology 29h21m,03 Viruses,08 DNA Viruses - Herpesviridae_ HSV 1 and 2.mp4,22.36,0.37
431,06 Microbiology 29h21m,03 Viruses,09 DNA Viruses - Varicella Zoster Virus.mp4,8.66,0.14
432,06 Microbiology 29h21m,03 Viruses,10 DNA Viruses - Epstein Barr Virus (EBV).mp4,17.37,0.29
433,06 Microbiology 29h21m,03 Viruses,11 DNA Viruses - Cytomegalovirus (CMV).mp4,15.5,0.26
434,06 Microbiology 29h21m,03 Viruses,12 DNA Viruses - Human Herpes Virus 6-8.mp4,7.37,0.12
435,06 Microbiology 29h21m,03 Viruses,13 DNA Viruses - Poxviridae_ Variola_Smallpox.mp4,7.38,0.12
436,06 Microbiology 29h21m,03 Viruses,14 DNA Viruses - Poxviridae_ Molluscum Contagiosum.mp4,4.92,0.08
437,06 Microbiology 29h21m,03 Viruses,15 Intro to RNA Viruses - RNA Viruses.mp4,14.18,0.24
438,06 Microbiology 29h21m,03 Viruses,16 Positive-Sense RNA Viruses - Caliciviridae and Hepeviridae.mp4,30.31,0.51
439,06 Microbiology 29h21m,03 Viruses,17 Positive-Sense RNA Viruses - Flaviviridae.mp4,12.23,0.2
440,06 Microbiology 29h21m,03 Viruses,18 Positive-Sense RNA Viruses - Togaviridae.mp4,14.46,0.24
441,06 Microbiology 29h21m,03 Viruses,19 Positive-Sense RNA Viruses - Coronaviridae.mp4,4.75,0.08
442,06 Microbiology 29h21m,03 Viruses,20 Positive-Sense RNA Viruses - Retroviridae.mp4,63.07,1.05
