,topic,subtopic,video,video_length_[mins]
217,06 Microbiology 29h21m,03 Viruses,07 DNA Viruses - Adenoviridae.mp4,8.939333333
218,06 Microbiology 29h21m,03 Viruses,08 DNA Viruses - Herpesviridae_ HSV 1 and 2.mp4,22.35833333
219,06 Microbiology 29h21m,03 Viruses,17 Positive-Sense RNA Viruses - Flaviviridae.mp4,12.22533333
220,06 Microbiology 29h21m,03 Viruses,12 DNA Viruses - Human Herpes Virus 6-8.mp4,7.369333333
221,06 Microbiology 29h21m,03 Viruses,18 Positive-Sense RNA Viruses - Togaviridae.mp4,14.46183333
222,06 Microbiology 29h21m,03 Viruses,26 Negative-Sense RNA Viruses - Bunyaviridae and Arenaviridae.mp4,8.261666667
223,06 Microbiology 29h21m,03 Viruses,22 Negative-Sense RNA Viruses - Paramyxoviridae.mp4,17.06416667
224,06 Microbiology 29h21m,03 Viruses,28 Prion Diseases - Prion Diseases.mp4,4.871
225,06 Microbiology 29h21m,03 Viruses,01 Intro to Viruses - Structure and Morphology.mp4,20.27916667
226,06 Microbiology 29h21m,03 Viruses,11 DNA Viruses - Cytomegalovirus (CMV).mp4,15.502
227,06 Microbiology 29h21m,03 Viruses,13 DNA Viruses - Poxviridae_ Variola_Smallpox.mp4,7.384333333
228,06 Microbiology 29h21m,03 Viruses,24 Negative-Sense RNA Viruses - Filoviridae.mp4,8.313833333
229,06 Microbiology 29h21m,03 Viruses,09 DNA Viruses - Varicella Zoster Virus.mp4,8.6585
230,06 Microbiology 29h21m,03 Viruses,16 Positive-Sense RNA Viruses - Caliciviridae and Hepeviridae.mp4,30.3135
231,06 Microbiology 29h21m,03 Viruses,10 DNA Viruses - Epstein Barr Virus (EBV).mp4,17.36716667
232,06 Microbiology 29h21m,03 Viruses,23 Negative-Sense RNA Viruses - Rhabdoviridae.mp4,9.9
233,06 Microbiology 29h21m,03 Viruses,05 DNA Viruses - Parvoviridae.mp4,11.0145
234,06 Microbiology 29h21m,03 Viruses,21 Negative-Sense RNA Viruses - Negative-Sense RNA Viruses.mp4,6.578333333
235,06 Microbiology 29h21m,03 Viruses,19 Positive-Sense RNA Viruses - Coronaviridae.mp4,4.746
236,06 Microbiology 29h21m,03 Viruses,02 Intro to Viruses - Important Steps in Viral Replication.mp4,29.215
237,06 Microbiology 29h21m,03 Viruses,25 Negative-Sense RNA Viruses - Orthomyxoviridae.mp4,19.26283333
238,06 Microbiology 29h21m,03 Viruses,15 Intro to RNA Viruses - RNA Viruses.mp4,14.17883333
239,06 Microbiology 29h21m,03 Viruses,20 Positive-Sense RNA Viruses - Retroviridae.mp4,63.06533333
240,06 Microbiology 29h21m,03 Viruses,06 DNA Viruses - Papillomaviridae and Polyomaviridae.mp4,17.485
241,06 Microbiology 29h21m,03 Viruses,03 Viral Hepatitis - Viral Hepatitis.mp4,40.049
242,06 Microbiology 29h21m,03 Viruses,14 DNA Viruses - Poxviridae_ Molluscum Contagiosum.mp4,4.92
243,06 Microbiology 29h21m,08 Clinical Correlates & Animations,02 Rheumatic Fever.mp4,18.54
244,06 Microbiology 29h21m,08 Clinical Correlates & Animations,01 Reye Syndrome.mp4,13.43216667
245,06 Microbiology 29h21m,07 Comparative Microbiology,01 Comparative Microbiology - Comparative Microbiology.mp4,7.008
246,06 Microbiology 29h21m,01 General Microbiology,01 General Microbiology - Bacterial Cell Structure and Endospores.mp4,23.14566667
247,06 Microbiology 29h21m,01 General Microbiology,04 General Microbiology - Toxins.mp4,23.441
248,06 Microbiology 29h21m,01 General Microbiology,02 General Microbiology - Bacterial Cell Growth and Culture of Microorganisms.mp4,13.47016667
249,06 Microbiology 29h21m,01 General Microbiology,03 General Microbiology - Pathogenecity.mp4,28.35316667
250,06 Microbiology 29h21m,04 Fungi,09 Blastomyces dermatitidis.mp4,6.698
251,06 Microbiology 29h21m,04 Fungi,06 Systemic Fungal Infections-Overview.mp4,4.868
252,06 Microbiology 29h21m,04 Fungi,11 Opportunistic Fungi.mp4,28.607
253,06 Microbiology 29h21m,04 Fungi,04 Cutaneous Fungal Infections.mp4,9.904833333
254,06 Microbiology 29h21m,04 Fungi,07 Histoplasma capsulatum.mp4,9.550666667
255,06 Microbiology 29h21m,04 Fungi,05 Subcutaneous Mycoses.mp4,4.938166667
256,06 Microbiology 29h21m,04 Fungi,01 Mycology and Fungal Morphology.mp4,11.72766667
257,06 Microbiology 29h21m,04 Fungi,10 Paracoccidioides brasiliensis.mp4,4.540833333
258,06 Microbiology 29h21m,04 Fungi,08 Coccidioides immitis.mp4,6.229166667
259,06 Microbiology 29h21m,04 Fungi,02 Diagnosis.mp4,8.395
260,06 Microbiology 29h21m,04 Fungi,03 Superficial Fungal Infections.mp4,7.351333333
261,06 Microbiology 29h21m,02 Bacteria,44 Bacterial Genetics - Transformation.mp4,6.817333333
262,06 Microbiology 29h21m,02 Bacteria,06 Gram-Positive Cocci - Genus_ Enterococcus.mp4,5.445166667
263,06 Microbiology 29h21m,02 Bacteria,16 Gram-Negative Bacilli - Genus_ Legionella.mp4,12.48133333
264,06 Microbiology 29h21m,02 Bacteria,08 Gram-Positive Rods - Genus_ Clostridium.mp4,45.9375
265,06 Microbiology 29h21m,02 Bacteria,19 Gram-Negative Bacilli - Genus_ Brucella.mp4,9.502166667
266,06 Microbiology 29h21m,02 Bacteria,30 Enterobacteriaceae - Genus_ Yersinia.mp4,18.24
267,06 Microbiology 29h21m,02 Bacteria,42 Bacterial Genetics - Bacterial Genetic Material.mp4,8.388333333
268,06 Microbiology 29h21m,02 Bacteria,14 Gram-Negative Cocci - Neisseria and Moraxella.mp4,32.38033333
269,06 Microbiology 29h21m,02 Bacteria,34 Additional Gram-Negative Rods - Genus_ Bacteroides.mp4,13.70633333
270,06 Microbiology 29h21m,02 Bacteria,21 Gram-Negative Bacilli - Genus_ Pasteurella.mp4,6.159
271,06 Microbiology 29h21m,02 Bacteria,41 Atypical Bacteria - Family_ Mycoplasmataceae.mp4,12.52233333
272,06 Microbiology 29h21m,02 Bacteria,02 Flora and Stains - Stains and Gram Staining Reactions.mp4,11.52216667
273,06 Microbiology 29h21m,02 Bacteria,48 Bacterial Genetics - Transduction.mp4,15.407
274,06 Microbiology 29h21m,02 Bacteria,09 Gram-Positive Rods - Genus_ Listeria.mp4,13.235
275,06 Microbiology 29h21m,02 Bacteria,03 Gram-Positive Cocci - Gram-Positive Cocci.mp4,31.09033333
276,06 Microbiology 29h21m,02 Bacteria,07 Gram-Positive Rods - Genus_ Bacillus.mp4,29.03433333
277,06 Microbiology 29h21m,02 Bacteria,01 Flora and Stains - Normal Flora.mp4,21.22916667
278,06 Microbiology 29h21m,02 Bacteria,50 Bacterial Genetics - Drug Resistance.mp4,20.56483333
279,06 Microbiology 29h21m,02 Bacteria,17 Gram-Negative Bacilli - Genus_ Francisella.mp4,11.242
280,06 Microbiology 29h21m,02 Bacteria,33 Additional Gram-Negative Rods - Genus_ Gardnerella.mp4,11.08016667
281,06 Microbiology 29h21m,02 Bacteria,37 Spirochetes - Genus_ Leptospira.mp4,8.6725
282,06 Microbiology 29h21m,02 Bacteria,27 Enterobacteriaceae - Genus_ Escherichia.mp4,20.88666667
283,06 Microbiology 29h21m,02 Bacteria,32 Enterobacteriaceae - Genus_ Salmonella.mp4,29.24116667
284,06 Microbiology 29h21m,02 Bacteria,11 Gram-Positive Rods - Genus_ Actinomyces.mp4,10.622
285,06 Microbiology 29h21m,02 Bacteria,28 Enterobacteriaceae - Genus_ Klebsiella.mp4,15.33966667
286,06 Microbiology 29h21m,02 Bacteria,04 Gram-Positive Cocci - Genus_ Staphylococcus.mp4,42.222
287,06 Microbiology 29h21m,02 Bacteria,12 Gram-Positive Rods - Genus_ Nocardia.mp4,5.576333333
288,06 Microbiology 29h21m,02 Bacteria,51 Bacterial Genetics - Antibiotic Susceptibility Testing.mp4,14.05666667
289,06 Microbiology 29h21m,02 Bacteria,05 Gram-Positive Cocci - Genus_ Streptococcus.mp4,63.125
290,06 Microbiology 29h21m,02 Bacteria,40 Atypical Bacteria - Genus_ Ehrlichia.mp4,13.60083333
291,06 Microbiology 29h21m,02 Bacteria,49 Bacterial Genetics - Temperate Phage.mp4,24.27566667
292,06 Microbiology 29h21m,02 Bacteria,29 Enterobacteriaceae - Genus_ Shigella.mp4,13.533
293,06 Microbiology 29h21m,02 Bacteria,10 Gram-Positive Rods - Genus_ Corynebacterium.mp4,15.70416667
294,06 Microbiology 29h21m,02 Bacteria,20 Gram-Negative Bacilli - Genus_ Haemophilus.mp4,17.08133333
295,06 Microbiology 29h21m,02 Bacteria,26 Enterobacteriaceae - Family_ Enterobacteriaceae.mp4,10.13283333
296,06 Microbiology 29h21m,02 Bacteria,47 Bacterial Genetics - Site-Specific Recombination.mp4,24.81983333
297,06 Microbiology 29h21m,02 Bacteria,36 Spirochetes - Genus_ Borrelia.mp4,23.66133333
298,06 Microbiology 29h21m,02 Bacteria,46 Bacterial Genetics - Conjugation.mp4,17.714
299,06 Microbiology 29h21m,02 Bacteria,35 Spirochetes - Genus_ Treponema.mp4,33.1305
300,06 Microbiology 29h21m,02 Bacteria,31 Enterobacteriaceae - Genus_ Proteus.mp4,6.7595
301,06 Microbiology 29h21m,02 Bacteria,45 Bacterial Genetics - Homologous Recombination.mp4,5.518666667
302,06 Microbiology 29h21m,02 Bacteria,22 Bite and HACEK Group Infections - Bite and HACEK Group Infections.mp4,7.645833333
303,06 Microbiology 29h21m,02 Bacteria,15 Gram-Negative Bacilli - Gram-Negative Bacilli.mp4,28.23733333
304,06 Microbiology 29h21m,02 Bacteria,24 Gram-Negative Curved Rods - Genus_ Helicobacter.mp4,8.929833333
305,06 Microbiology 29h21m,02 Bacteria,18 Gram-Negative Bacilli - Genus_ Bordetella.mp4,18.33766667
306,06 Microbiology 29h21m,02 Bacteria,43 Bacterial Genetics - Gene Transfer_ Overview.mp4,5.4125
307,06 Microbiology 29h21m,02 Bacteria,38 Atypical Bacteria - Family_ Chlamydiaceae.mp4,32.76016667
308,06 Microbiology 29h21m,02 Bacteria,39 Atypical Bacteria - Genus_ Rickettsia.mp4,14.95616667
309,06 Microbiology 29h21m,02 Bacteria,13 Gram-Positive Rods - Genus_ Mycobacterium.mp4,45.3315
310,06 Microbiology 29h21m,02 Bacteria,25 Gram-Negative Curved Rods - Genus_ Vibrio.mp4,12.0965
311,06 Microbiology 29h21m,02 Bacteria,23 Gram-Negative Curved Rods - Genus_ Campylobacter.mp4,14.0955
312,06 Microbiology 29h21m,05 Parasitology,06 Medical Parasitology - Miscellaneous Apicomplexa.mp4,9.4535
313,06 Microbiology 29h21m,05 Parasitology,04 Medical Parasitology - Plasmodium.mp4,17.78016667
314,06 Microbiology 29h21m,05 Parasitology,02 Medical Parasitology - Important Protozoan Parasites.mp4,19.30683333
315,06 Microbiology 29h21m,05 Parasitology,07 Medical Parasitology - Nematodes.mp4,25.82716667
316,06 Microbiology 29h21m,05 Parasitology,09 Medical Parasitology - Cestodes.mp4,10.74383333
317,06 Microbiology 29h21m,05 Parasitology,08 Medical Parasitology - Trematodes.mp4,8.8425
318,06 Microbiology 29h21m,05 Parasitology,01 Medical Parasitology - Classification of Parasites_ Overview.mp4,9.394
319,06 Microbiology 29h21m,05 Parasitology,05 Medical Parasitology - Hemoflagellates.mp4,10.25466667
320,06 Microbiology 29h21m,05 Parasitology,03 Medical Parasitology - Free Living Amoeba.mp4,5.643166667
321,04 Biochemistry 32h53m,01 Biochemistry,16 Transcription and RNA Processing - Transfer RNA Carries Activated Amino Acids for Translation.mp4,11.19783333
322,04 Biochemistry 32h53m,01 Biochemistry,09 Transcription and RNA Processing - Overview of Transcription.mp4,8.536666667
323,04 Biochemistry 32h53m,01 Biochemistry,08 DNA Replication and Repair - DNA Repair.mp4,17.90333333
324,04 Biochemistry 32h53m,01 Biochemistry,33 Techniques of Genetic Analysis - Polymerase Chain Reaction (PCR).mp4,26.80716667
325,04 Biochemistry 32h53m,01 Biochemistry,32 Techniques of Genetic Analysis - Blotting Techniques.mp4,42.99116667
326,04 Biochemistry 32h53m,01 Biochemistry,05 DNA Replication and Repair - Overview of DNA Replication.mp4,10.00333333
327,04 Biochemistry 32h53m,01 Biochemistry,02 Nucleic Acid Structure and Organization - Nucleotide Structure and Nomenclature.mp4,18.69666667
328,04 Biochemistry 32h53m,01 Biochemistry,"22 The Genetic Code, Mutations, and Translation - Protein Folding and Subunit Assembly.mp4",4.6245
329,04 Biochemistry 32h53m,01 Biochemistry,"18 The Genetic Code, Mutations, and Translation - Mutations.mp4",18.45866667
330,04 Biochemistry 32h53m,01 Biochemistry,07 DNA Replication and Repair - Steps of DNA Replication.mp4,17.71216667
331,04 Biochemistry 32h53m,01 Biochemistry,38 Hormones - Water-Soluble Hormones Mechanism.mp4,32.52916667
332,04 Biochemistry 32h53m,01 Biochemistry,10 Transcription and RNA Processing - RNA Polymerases.mp4,5.803333333
333,04 Biochemistry 32h53m,01 Biochemistry,26 Regulation of Eukaryotic Gene Expression - Overview of Genetic Regulation.mp4,0.743333333
334,04 Biochemistry 32h53m,01 Biochemistry,"35 Amino Acids, Proteins, and Enzymes - Protein Turnover.mp4",8.942333333
335,04 Biochemistry 32h53m,01 Biochemistry,06 DNA Replication and Repair - Comparison of DNA and RNA Synthesis.mp4,11.06666667
336,04 Biochemistry 32h53m,01 Biochemistry,11 Transcription and RNA Processing - Transcription Important Concepts and Terminology.mp4,15.80666667
337,04 Biochemistry 32h53m,01 Biochemistry,"20 The Genetic Code, Mutations, and Translation - Translation (Protein Synthesis).mp4",21.0145
338,04 Biochemistry 32h53m,01 Biochemistry,03 Nucleic Acid Structure and Organization - Nucleic Acids.mp4,21.87333333
339,04 Biochemistry 32h53m,01 Biochemistry,04 Nucleic Acid Structure and Organization - Organization of DNA.mp4,15.42
340,04 Biochemistry 32h53m,01 Biochemistry,"17 The Genetic Code, Mutations, and Translation - Overview of Translation.mp4",8.6445
341,04 Biochemistry 32h53m,01 Biochemistry,14 Transcription and RNA Processing - Alternative Splicing-Eukaryotic Primary Pre-mRNA Transcripts.mp4,5.8745
342,04 Biochemistry 32h53m,01 Biochemistry,"19 The Genetic Code, Mutations, and Translation - Amino Acid Activation and Codon Translation by tRNAs.mp4",5.7255
343,04 Biochemistry 32h53m,01 Biochemistry,"34 Amino Acids, Proteins, and Enzymes - Amino Acids.mp4",27.60983333
344,04 Biochemistry 32h53m,01 Biochemistry,31 Genetic Strategies in Therapeutics - RNA Interference.mp4,6.27
345,04 Biochemistry 32h53m,01 Biochemistry,15 Transcription and RNA Processing - Ribosomal RNA (rRNA) Is Used to Construct Ribosomes.mp4,5.731166667
346,04 Biochemistry 32h53m,01 Biochemistry,"25 The Genetic Code, Mutations, and Translation - Posttranslational Modifications of Collagen.mp4",19.60816667
347,04 Biochemistry 32h53m,01 Biochemistry,30 Genetic Strategies in Therapeutics - Medical Application of Recombinant DNA.mp4,29.39883333
348,04 Biochemistry 32h53m,01 Biochemistry,12 Transcription and RNA Processing - Production of Prokaryotic Messenger RNA.mp4,8.192166667
349,04 Biochemistry 32h53m,01 Biochemistry,39 Hormones - G-Proteins in Signal Transduction.mp4,7.657666667
350,04 Biochemistry 32h53m,01 Biochemistry,40 Hormones - Lipid Soluble Hormones.mp4,8.148666667
351,04 Biochemistry 32h53m,01 Biochemistry,13 Transcription and RNA Processing - Production of Eukaryotic Messenger RNA.mp4,11.75783333
352,04 Biochemistry 32h53m,01 Biochemistry,27 Regulation of Eukaryotic Gene Expression - Regulation of Eukaryotic Gene Expression.mp4,45.69783333
353,04 Biochemistry 32h53m,01 Biochemistry,"36 Amino Acids, Proteins, and Enzymes - Biochemical Reactions.mp4",42.71883333
354,04 Biochemistry 32h53m,01 Biochemistry,37 Hormones - Hormones and Signal Transduction.mp4,5.696333333
355,04 Biochemistry 32h53m,01 Biochemistry,28 Genetic Strategies in Therapeutics - Overview of Recombinant DNA Technology.mp4,14.26883333
356,04 Biochemistry 32h53m,01 Biochemistry,42 Vitamins - Lipid Soluble Vitamins.mp4,42.69833333
357,04 Biochemistry 32h53m,01 Biochemistry,41 Vitamins - Water Soluble Vitamins.mp4,16.42416667
358,04 Biochemistry 32h53m,01 Biochemistry,"23 The Genetic Code, Mutations, and Translation - Translation Occurs on Free Ribosomes and on the RER.mp4",15.6055
359,04 Biochemistry 32h53m,01 Biochemistry,"24 The Genetic Code, Mutations, and Translation - Co- and Posttranslational Covalent Modifications.mp4",7.788833333
360,04 Biochemistry 32h53m,01 Biochemistry,01 Nucleic Acid Structure and Organization - Overview The Central Dogma of Molecular Biology.mp4,19.21216667
361,04 Biochemistry 32h53m,01 Biochemistry,"21 The Genetic Code, Mutations, and Translation - Inhibitors of Protein Synthesis.mp4",2.9545
362,04 Biochemistry 32h53m,01 Biochemistry,29 Genetic Strategies in Therapeutics - Human Genome Project and Cloning Genes.mp4,30.71733333
363,04 Biochemistry 32h53m,02 Metabolism,33 Amino Acid Metabolism - Heme Synthesis.mp4,19.97666667
364,04 Biochemistry 32h53m,02 Metabolism,17 Lipid Synthesis and Storage - Lipid Digestion.mp4,8.8745
365,04 Biochemistry 32h53m,02 Metabolism,26 Lipid Mobilization and Catabolism - Sphingolipids.mp4,19.98
366,04 Biochemistry 32h53m,02 Metabolism,01  Overview of Energy Metabolism - Metabolic Sources of Energy and Energy Storage.mp4,29.846
367,04 Biochemistry 32h53m,02 Metabolism,"13 Glycogen, Gluconeogenesis, and the HMP Shunt - Gluconeogenesis.mp4",42.10666667
368,04 Biochemistry 32h53m,02 Metabolism,19 Lipid Synthesis and Storage - Triglyceride (Triacylglycerol) Synthesis.mp4,10.79666667
369,04 Biochemistry 32h53m,02 Metabolism,10 Citric Acid Cycle and Oxidative Phosphorylation - Electron Transport Chain and Oxidative Phosphorylation.mp4,38.83216667
370,04 Biochemistry 32h53m,02 Metabolism,37 Purine and Pyrimidine Metabolism - Pyrimidine Synthesis.mp4,15.75216667
371,04 Biochemistry 32h53m,02 Metabolism,"14 Glycogen, Gluconeogenesis, and the HMP Shunt - Hexose Monophosphate Shunt.mp4",39.72116667
372,04 Biochemistry 32h53m,02 Metabolism,05 Glycolysis and Pyruvate Dehydrogenase - Glycolysis.mp4,50.20116667
373,04 Biochemistry 32h53m,02 Metabolism,"15 Glycogen, Gluconeogenesis, and the HMP Shunt - Chapter 14 Questions.mp4",28.82333333
374,04 Biochemistry 32h53m,02 Metabolism,38 Purine and Pyrimidine Metabolism - Purine Synthesis.mp4,8.582166667
375,04 Biochemistry 32h53m,02 Metabolism,34 Amino Acid Metabolism - Iron Transport and Storage.mp4,12.44883333
376,04 Biochemistry 32h53m,02 Metabolism,16 Lipid Synthesis and Storage - Fatty Acid Nomenclature.mp4,13.51
377,04 Biochemistry 32h53m,02 Metabolism,23 Lipid Mobilization and Catabolism - Lipid Mobilization.mp4,10.0845
378,04 Biochemistry 32h53m,02 Metabolism,02 Overview of Energy Metabolism - Patterns of Fuel Metabolism in Tissues.mp4,17.081
379,04 Biochemistry 32h53m,02 Metabolism,"11 Glycogen, Gluconeogenesis, and the HMP Shunt - Glycogen Synthesis and Glycogenolysis.mp4",17.30666667
380,04 Biochemistry 32h53m,02 Metabolism,08 Glycolysis and Pyruvate Dehydrogenase - Pyruvate Dehydrogenase.mp4,9.0445
381,04 Biochemistry 32h53m,02 Metabolism,31 Amino Acid Metabolism - Disorders of Amino Acid Metabolism.mp4,22.2145
382,04 Biochemistry 32h53m,02 Metabolism,04 Glycolysis and Pyruvate Dehydrogenase - Glucose Transport.mp4,15.35666667
383,04 Biochemistry 32h53m,02 Metabolism,22 Lipid Synthesis and Storage - Cholesterol Metabolism.mp4,19.78
384,04 Biochemistry 32h53m,02 Metabolism,30 Amino Acid Metabolism - Urea Cycle.mp4,16.48666667
385,04 Biochemistry 32h53m,02 Metabolism,06 Glycolysis and Pyruvate Dehydrogenase - Galactose Metabolism.mp4,19.51783333
386,04 Biochemistry 32h53m,02 Metabolism,25 Lipid Mobilization and Catabolism - Ketone Body Metabolism.mp4,19.04
387,04 Biochemistry 32h53m,02 Metabolism,39 Purine and Pyrimidine Metabolism - Purine Catabolism and the Salvage Enzyme HGPRT.mp4,15.35333333
388,04 Biochemistry 32h53m,02 Metabolism,35 Amino Acid Metabolism - Bilirubin Metabolism.mp4,22.28116667
389,04 Biochemistry 32h53m,02 Metabolism,03 Glycolysis and Pyruvate Dehydrogenase - Carbohydrate Digestion.mp4,14.92216667
390,04 Biochemistry 32h53m,02 Metabolism,20 Lipid Synthesis and Storage - Lipoprotein Metabolism.mp4,68.22216667
391,04 Biochemistry 32h53m,02 Metabolism,28 Amino Acid Metabolism - Overview (Amino Acid Metabolism).mp4,10.56783333
392,04 Biochemistry 32h53m,02 Metabolism,"12 Glycogen, Gluconeogenesis, and the HMP Shunt - Genetic Deficiencies of Enzymes in Glycogen Metabolism.mp4",12.73666667
393,04 Biochemistry 32h53m,02 Metabolism,24 Lipid Mobilization and Catabolism - Fatty Acid Oxidation.mp4,38.83116667
394,04 Biochemistry 32h53m,02 Metabolism,29 Amino Acid Metabolism - Removal and Excretion of Amino Groups.mp4,18.41116667
395,04 Biochemistry 32h53m,02 Metabolism,40 Purine and Pyrimidine Metabolism - Chapter 17 and 18 Questions.mp4,24.4455
396,04 Biochemistry 32h53m,02 Metabolism,07 Glycolysis and Pyruvate Dehydrogenase - Fructose Metabolism.mp4,9.078833333
397,04 Biochemistry 32h53m,02 Metabolism,27 Lipid Mobilization and Catabolism - Chapter 16 Questions.mp4,22.77216667
398,04 Biochemistry 32h53m,02 Metabolism,36 Purine and Pyrimidine Metabolism - Overview (Purine and Pyrimidine Metabolism).mp4,6.097833333
399,04 Biochemistry 32h53m,02 Metabolism,21 Lipid Synthesis and Storage - Hyperlipidemias.mp4,6.2945
400,04 Biochemistry 32h53m,02 Metabolism,09 Citric Acid Cycle and Oxidative Phosphorylation - Citric Acid Cycle.mp4,20.6445
401,04 Biochemistry 32h53m,02 Metabolism,18 Lipid Synthesis and Storage - Fatty Acid Biosynthesis.mp4,17.3155
402,04 Biochemistry 32h53m,02 Metabolism,"32 Amino Acid Metabolism - S-Adenosylmethionine, Folate, and Cobalamin.mp4",26.13783333
403,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,04 Sickle Cell Disease.mp4,19.91
404,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,05 Fatty Acid Oxidation.mp4,5.1645
405,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,02 Hereditary Nonpolyposis Colorectal Cancer (HNPCC).mp4,16.99666667
406,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,01 Abetalipoproteinemia.mp4,17.32666667
407,04 Biochemistry 32h53m,04 Clinical Correlates & Animations,03 Li-Fraumeni.mp4,15.91533333
408,04 Biochemistry 32h53m,03 Medical Genetics,Genetics of Common Diseases - Multifactorial Inheritance (2019).mp4,44.2155
409,04 Biochemistry 32h53m,03 Medical Genetics,10 Cytogenetics - Structural Chromosome Abnormalities.mp4,26.1055
410,04 Biochemistry 32h53m,03 Medical Genetics,12 Cytogenetics - Advances in Molecular Cytogenics.mp4,7.1845
411,04 Biochemistry 32h53m,03 Medical Genetics,01 Single Gene Disorders - Basic Definitions.mp4,27.10233333
412,04 Biochemistry 32h53m,03 Medical Genetics,03 Single Gene Disorders - Important Principles Characterizing Single-Gene Diseases.mp4,46.8655
413,04 Biochemistry 32h53m,03 Medical Genetics,16 Genetic Diagnosis - Overview (Genetic Diagnosis).mp4,13.03883333
414,04 Biochemistry 32h53m,03 Medical Genetics,18 Genetic Diagnosis - Applications of Genetic Diagnosis.mp4,5.616666667
415,04 Biochemistry 32h53m,03 Medical Genetics,06 Population Genetics - Factors Responsible for Genetic Variation among Populations.mp4,15.4255
416,04 Biochemistry 32h53m,03 Medical Genetics,08 Cytogenetics - Basic Definitions and Terminology.mp4,7.403333333
417,04 Biochemistry 32h53m,03 Medical Genetics,17 Genetic Diagnosis - Genetic Diagnosis.mp4,34.52666667
418,04 Biochemistry 32h53m,03 Medical Genetics,11 Cytogenetics - Other Chromosome Abnormalities.mp4,4.001166667
419,04 Biochemistry 32h53m,03 Medical Genetics,02 Single Gene Disorders - Major Modes of Inheritance.mp4,36.27333333
420,04 Biochemistry 32h53m,03 Medical Genetics,15 Gene Mapping - Gene Mapping Linkage Analysis.mp4,28.8755
421,04 Biochemistry 32h53m,03 Medical Genetics,07 Cytogenetics - Overview (Cytogenics).mp4,2.4
422,04 Biochemistry 32h53m,03 Medical Genetics,14 Gene Mapping - Overview (Gene Mapping).mp4,11.4555
423,04 Biochemistry 32h53m,03 Medical Genetics,04 Population Genetics - Definition (Population Genetics).mp4,12.34666667
424,04 Biochemistry 32h53m,03 Medical Genetics,09 Cytogenetics - Numerical Chromosome Abnormalities.mp4,19.6845
425,04 Biochemistry 32h53m,03 Medical Genetics,05 Population Genetics - Hardy-Weinberg Equilibrium.mp4,17.2455
426,02 Behavioral Science 20h7m,02 Behavioral Science,06 Epidemiology - Screening Tests.mp4,14.60866667
427,02 Behavioral Science 20h7m,02 Behavioral Science,"44 Ethics, Law, and Physician Behavior - Abuse.mp4",7.661166667
428,02 Behavioral Science 20h7m,02 Behavioral Science,"41 Ethics, Law, and Physician Behavior - Advance Directives and Confidentiality.mp4",6.373666667
429,02 Behavioral Science 20h7m,02 Behavioral Science,06 Theories of Learning and Behavioral Modification - Behavioral Modification.mp4,13.02533333
430,02 Behavioral Science 20h7m,02 Behavioral Science,11 Defense Mechanisms - Defense Mechanisms_ Mature.mp4,4.074333333
431,02 Behavioral Science 20h7m,02 Behavioral Science,"40 Ethics, Law, and Physician Behavior - Committed Patients.mp4",13.37666667
432,02 Behavioral Science 20h7m,02 Behavioral Science,10 Defense Mechanisms - Defense Mechanisms_ Anxiety.mp4,18.4495
433,02 Behavioral Science 20h7m,02 Behavioral Science,"42 Ethics, Law, and Physician Behavior - Minors.mp4",6.522166667
434,02 Behavioral Science 20h7m,02 Behavioral Science,20 Psychiatric (DSM-5) Disorders - Thought Disorders.mp4,11.84016667
435,02 Behavioral Science 20h7m,02 Behavioral Science,"45 Ethics, Law, and Physician Behavior - Patient-Centered Interview.mp4",23.42283333
436,02 Behavioral Science 20h7m,02 Behavioral Science,36 Brain Function and Neurocognitive Disorders - Neurotransmitters.mp4,9.620833333
437,02 Behavioral Science 20h7m,02 Behavioral Science,02 Developmental Life Cycle - Sexuality.mp4,10.27133333
438,02 Behavioral Science 20h7m,02 Behavioral Science,23 Psychiatric (DSM-5) Disorders - Obsessive Compulsive Disorder and Related Disorders.mp4,8.037
439,02 Behavioral Science 20h7m,02 Behavioral Science,11 Epidemiology - Case-Control Studeis.mp4,8.119833333
440,02 Behavioral Science 20h7m,02 Behavioral Science,37 Brain Function and Neurocognitive Disorders - Neurocognitive Disorders.mp4,27.8425
441,02 Behavioral Science 20h7m,02 Behavioral Science,22 Psychiatric (DSM-5) Disorders - Anxiety Disorders.mp4,9.3035
442,02 Behavioral Science 20h7m,02 Behavioral Science,04 Epidemiology - Types of Rates.mp4,10.64816667
443,02 Behavioral Science 20h7m,02 Behavioral Science,29 Psychiatric (DSM-5) Disorders - Sexual Disorders.mp4,11.40316667
444,02 Behavioral Science 20h7m,02 Behavioral Science,15 Biostatistics - Inferential Statistics.mp4,36.879
445,02 Behavioral Science 20h7m,02 Behavioral Science,32 Psychopharmacology - Mood Stabilizer Medications.mp4,6.1725
446,02 Behavioral Science 20h7m,02 Behavioral Science,03 Epidemiology - Incidence and Prevalence.mp4,26.858
447,02 Behavioral Science 20h7m,02 Behavioral Science,05 Theories of Learning and Behavioral Modification - Learning.mp4,24.835
448,02 Behavioral Science 20h7m,02 Behavioral Science,07 Epidemiology - Post-Test Probabilities.mp4,17.75466667
